,transit_mode,line,subline,station_name,station_url,address,latitude,longitude
0,subway,Red,Stations,Alewife,/stops/place-alfcl,"Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140",42.39583,-71.141287
1,subway,Red,Stations,Andrew,/stops/place-andrw,"Dorchester Ave and Southhampton St, South Boston, MA 02127",42.330154,-71.057655
2,subway,Red,Stations,Ashmont,/stops/place-asmnl,"Dorchester Ave and Ashmont St, Boston, MA 02124",42.28452,-71.063777
3,subway,Red,Stations,Braintree,/stops/place-brntn,"197 Ivory St, Braintree, MA 02184",42.207854,-71.001138
4,subway,Red,Stations,Broadway,/stops/place-brdwy,"Dorchester Ave and Broadway, Boston, MA",42.342622,-71.056967
5,subway,Red,Stations,Central,/stops/place-cntsq,"Massachusetts Ave and Prospect St, Cambridge, MA 02139",42.365486,-71.103802
6,subway,Red,Stations,Charles/MGH,/stops/place-chmnl,"Cambridge St and Charles St, Boston, MA",42.361166,-71.070628
7,subway,Red,Stations,Davis,/stops/place-davis,"College Ave and Elm St, Somerville, MA",42.39674,-71.121815
8,subway,Red,Stations,Downtown Crossing,/stops/place-dwnxg,"Washington St and Summer St, Boston, MA",42.355518,-71.060225
9,subway,Red,Stations,Fields Corner,/stops/place-fldcr,"50 Freeman St, Dorchester, MA 02122",42.300093,-71.061667
10,subway,Red,Stations,Harvard,/stops/place-harsq,"1400 Massachusetts Ave, Cambridge, MA",42.373362,-71.118956
11,subway,Red,Stations,JFK/UMass,/stops/place-jfk,"599 Old Colony Ave, Boston, MA 02127-3805",42.320685,-71.052391
12,subway,Red,Stations,Kendall/MIT,/stops/place-knncl,"300 Main St, Cambridge, MA 02142",42.362491,-71.086176
13,subway,Red,Stations,North Quincy,/stops/place-nqncy,"Hancock St and Hunt St, Quincy, MA 02171",42.275275,-71.029583
14,subway,Red,Stations,Park Street,/stops/place-pktrm,"Tremont St and Winter St, Boston, MA 02108",42.356395,-71.062424
15,subway,Red,Stations,Porter,/stops/place-portr,"1899 Massachusetts Ave, Cambridge, MA 02140",42.3884,-71.119149
16,subway,Red,Stations,Quincy Adams,/stops/place-qamnl,"Burgin Pkwy and Centre St, Quincy, MA 02169",42.233391,-71.007153
17,subway,Red,Stations,Quincy Center,/stops/place-qnctr,"175 Thomas E Burgin Pkwy, Quincy, MA 02169",42.251809,-71.005409
18,subway,Red,Stations,Savin Hill,/stops/place-shmnl,"125 Savin Hill Ave, Dorchester, MA 02124",42.31129,-71.053331
19,subway,Red,Stations,Shawmut,/stops/place-smmnl,"Dayton St and Clementine Park, Dorchester, MA 02124",42.293126,-71.065738
20,subway,Red,Stations,South Station,/stops/place-sstat,"700 Atlantic Ave, Boston, MA 02110",42.352271,-71.055242
21,subway,Red,Stations,Wollaston,/stops/place-wlsta,"90 Woodbine St, Quincy, MA 02171",42.266514,-71.020337
22,subway,Red,Mattapan Trolley,Ashmont,/stops/place-asmnl,"Dorchester Ave and Ashmont St, Boston, MA 02124",42.28452,-71.063777
23,subway,Red,Mattapan Trolley,Butler,/stops/place-butlr,"Butler St and Branchfield St, Dorchester, MA 02124",42.272429,-71.062519
24,subway,Red,Mattapan Trolley,Capen Street,/stops/place-capst,"50 Capen St, Milton, MA 02186",42.267563,-71.087338
25,subway,Red,Mattapan Trolley,Cedar Grove,/stops/place-cedgr,"Fellsway St and Milton St, Dorchester, MA 02124",42.279629,-71.060394
26,subway,Red,Mattapan Trolley,Central Avenue,/stops/place-cenav,"23 Central Ave, Milton, MA 02186",42.270027,-71.073444
27,subway,Red,Mattapan Trolley,Mattapan,/stops/place-matt,"500 River St, Boston, MA 02126",42.26762,-71.092486
28,subway,Red,Mattapan Trolley,Milton,/stops/place-miltt,"1 Adams St, Milton, MA 02186",42.270349,-71.067266
29,subway,Red,Mattapan Trolley,Valley Road,/stops/place-valrd,"291 Valley Rd, Milton, MA 02186",42.268347,-71.081343
30,subway,Orange,Stations,Assembly,/stops/place-astao,"499 Foley St, Somerville, MA 02145",42.392811,-71.077257
31,subway,Orange,Stations,Back Bay,/stops/place-bbsta,"145 Dartmouth St Boston, MA 02116",42.34735,-71.075727
32,subway,Orange,Stations,Chinatown,/stops/place-chncl,"Washington St and Boylston St, Boston, MA",42.352547,-71.062752
33,subway,Orange,Stations,Community College,/stops/place-ccmnl,"Austin St and Rutherford Ave, Charlestown, MA",42.373622,-71.069533
34,subway,Orange,Stations,Downtown Crossing,/stops/place-dwnxg,"Washington St and Summer St, Boston, MA",42.355518,-71.060225
35,subway,Orange,Stations,Forest Hills,/stops/place-forhl,"Washington St and Hyde Park Ave, Jamaica Plain, MA 02130",42.300713,-71.113943
36,subway,Orange,Stations,Green Street,/stops/place-grnst,"150 Green St, Jamaica Plain, MA",42.310525,-71.107414
37,subway,Orange,Stations,Haymarket,/stops/place-haecl,"136 Blackstone St, Boston, MA 02109",42.363021,-71.05829
38,subway,Orange,Stations,Jackson Square,/stops/place-jaksn,"1500 Columbus Ave, Jamaica Plain, MA",42.323132,-71.099592
39,subway,Orange,Stations,Malden Center,/stops/place-mlmnl,"Commercial St and Pleasant St, Malden, MA 02148",42.426632,-71.07411
40,subway,Orange,Stations,Massachusetts Avenue,/stops/place-masta,"393 Massachusetts Ave, Boston, MA 02118",42.341512,-71.083423
41,subway,Orange,Stations,North Station,/stops/place-north,"135 Causeway St, Boston, MA 02114",42.365577,-71.06129
42,subway,Orange,Stations,Oak Grove,/stops/place-ogmnl,"Washington St and Winter St, Malden, MA 02148",42.43668,-71.071097
43,subway,Orange,Stations,Roxbury Crossing,/stops/place-rcmnl,"1400 Tremont St, Roxbury, MA",42.331397,-71.095451
44,subway,Orange,Stations,Ruggles,/stops/place-rugg,"1150 Tremont St, Roxbury, MA 02120",42.336377,-71.088961
45,subway,Orange,Stations,State,/stops/place-state,"200 Washington St, Boston, MA",42.358978,-71.057598
46,subway,Orange,Stations,Stony Brook,/stops/place-sbmnl,"100 Boylston St, Jamaica Plain, MA",42.317062,-71.104248
47,subway,Orange,Stations,Sullivan Square,/stops/place-sull,"Maffa Way and Cambridge St, Charlestown, MA 02129",42.383975,-71.076994
48,subway,Orange,Stations,Tufts Medical Center,/stops/place-tumnl,"750 Washington St, Boston, MA",42.349662,-71.063917
49,subway,Orange,Stations,Wellington,/stops/place-welln,"Revere Beach Pkwy and Rivers Edge Dr, Medford, MA 02155",42.40237,-71.077082
50,subway,Blue,Stations,Airport,/stops/place-aport,"Transportation Way and Service Rd, Boston, MA 02128",42.374262,-71.030395
51,subway,Blue,Stations,Aquarium,/stops/place-aqucl,"Atlantic Ave and State St, Boston, MA 02120",42.359784,-71.051652
52,subway,Blue,Stations,Beachmont,/stops/place-bmmnl,"630 Winthrop Ave, Revere, MA 02151",42.397542,-70.992319
53,subway,Blue,Stations,Bowdoin,/stops/place-bomnl,"Cambridge St and New Chardon St, Boston, MA 02114",42.361365,-71.062037
54,subway,Blue,Stations,Government Center,/stops/place-gover,"Cambridge St and Court St, Boston, MA",42.359705,-71.059215
55,subway,Blue,Stations,Maverick,/stops/place-mvbcl,"Sumner St and Maverick Sq, East Boston, MA",42.369119,-71.03953
56,subway,Blue,Stations,Orient Heights,/stops/place-orhte,"1000 Bennington St, East Boston, MA 02128",42.386867,-71.004736
57,subway,Blue,Stations,Revere Beach,/stops/place-rbmnl,"220 Shirley Ave, Revere, MA",42.407843,-70.992533
58,subway,Blue,Stations,State,/stops/place-state,"200 Washington St, Boston, MA",42.358978,-71.057598
59,subway,Blue,Stations,Suffolk Downs,/stops/place-sdmnl,"1230 Bennington St, East Boston, MA 02128",42.390501,-70.997123
60,subway,Blue,Stations,Wonderland,/stops/place-wondl,"1300 North Shore Rd, Revere, MA 02151",42.41342,-70.991648
61,subway,Blue,Stations,Wood Island,/stops/place-wimnl,"450 Bennington St, East Boston, MA",42.37964,-71.022865
62,subway,Green,Stations,Allston Street,/stops/place-alsgr,"Allston St and Commonwealth Ave, Boston, MA 02134",42.348701,-71.137955
63,subway,Green,Stations,Amory Street,/stops/place-amory,"Commonwealth Ave and Amory St, Boston, MA 02215",42.350992,-71.114748
64,subway,Green,Stations,Arlington,/stops/place-armnl,"Arlington St and Boylston St, Boston, MA 02116",42.351902,-71.070893
65,subway,Green,Stations,Babcock Street,/stops/place-babck,"Commonwealth Ave and Babcock St, Boston, MA 02215",42.351616,-71.119924
66,subway,Green,Stations,Back of the Hill,/stops/place-bckhl,"100 South Huntington Ave, Boston, MA 02130",42.330139,-71.111313
67,subway,Green,Stations,Ball Square,/stops/place-balsq,"646 Boston Ave, Somerville, MA 02144",42.399889,-71.111003
68,subway,Green,Stations,Beaconsfield,/stops/place-bcnfd,"124 Beaconsfield Rd, Brookline, MA 02445",42.335765,-71.140455
69,subway,Green,Stations,Blandford Street,/stops/place-bland,"Commonwealth Ave and Blandford Mall, Boston, MA 02215",42.349293,-71.100258
70,subway,Green,Stations,Boston College,/stops/place-lake,"Commonwealth Ave and Lake St, Boston, MA 02135",42.340081,-71.166769
71,subway,Green,Stations,Boston University Central,/stops/place-bucen,"Commonwealth Ave and Marsh Chapel, Boston, MA 02215",42.350082,-71.106865
